filepath,label
data\lisa\train\red\dayClip1--00100.jpg,red
data\lisa\train\red\dayClip1--00101.jpg,red
data\lisa\train\red\dayClip1--00102.jpg,red
data\lisa\train\red\dayClip1--00103.jpg,red
data\lisa\train\red\dayClip1--00104.jpg,red
data\lisa\train\red\dayClip1--00105.jpg,red
data\lisa\train\red\dayClip1--00106.jpg,red
data\lisa\train\red\dayClip1--00107.jpg,red
data\lisa\train\red\dayClip1--00108.jpg,red
data\lisa\train\red\dayClip1--00109.jpg,red
data\lisa\train\red\dayClip1--00110.jpg,red
data\lisa\train\red\dayClip1--00111.jpg,red
data\lisa\train\red\dayClip1--00112.jpg,red
data\lisa\train\red\dayClip1--00113.jpg,red
data\lisa\train\red\dayClip1--00114.jpg,red
data\lisa\train\red\dayClip1--00115.jpg,red
data\lisa\train\red\dayClip1--00116.jpg,red
data\lisa\train\red\dayClip1--00117.jpg,red
data\lisa\train\red\dayClip1--00118.jpg,red
data\lisa\train\red\dayClip1--00119.jpg,red
data\lisa\train\red\dayClip1--00120.jpg,red
data\lisa\train\red\dayClip1--00121.jpg,red
data\lisa\train\red\dayClip1--00122.jpg,red
data\lisa\train\red\dayClip1--00123.jpg,red
data\lisa\train\red\dayClip1--00124.jpg,red
data\lisa\train\red\dayClip1--00125.jpg,red
data\lisa\train\red\dayClip1--00126.jpg,red
data\lisa\train\red\dayClip1--00127.jpg,red
data\lisa\train\red\dayClip1--00128.jpg,red
data\lisa\train\red\dayClip1--00129.jpg,red
data\lisa\train\red\dayClip1--00130.jpg,red
data\lisa\train\red\dayClip1--00131.jpg,red
data\lisa\train\red\dayClip1--00132.jpg,red
data\lisa\train\red\dayClip1--00133.jpg,red
data\lisa\train\red\dayClip1--00134.jpg,red
data\lisa\train\red\dayClip1--00135.jpg,red
data\lisa\train\red\dayClip1--00136.jpg,red
data\lisa\train\red\dayClip1--00137.jpg,red
data\lisa\train\red\dayClip1--00138.jpg,red
data\lisa\train\red\dayClip1--00139.jpg,red
data\lisa\train\red\dayClip1--00140.jpg,red
data\lisa\train\red\dayClip1--00141.jpg,red
data\lisa\train\red\dayClip1--00142.jpg,red
